r0,top0,margin0,top_end,margin_end,cross_deg,cross_blocker,arc_reachable,context,target_id,target_text
8377,44220,-0.058755408972501755,142008,0.0,6.946449242789224,44220.0,True,The quantum computer,416,res
88369,44220,-0.08054111897945404,220,0.0,9.702336077665425,44220.0,True,The quantum computer,2511,uilder
36801,44220,-0.07150343060493469,220,0.0,11.281168732372622,4703.0,True,The quantum computer,6225,.pre
103982,44220,-0.08297166973352432,220,0.0,9.654916952934698,44220.0,True,The quantum computer,11431,iones
111507,44220,-0.08415719866752625,220,0.0,13.526817946495118,44220.0,True,The quantum computer,26629, cliente
58534,44220,-0.07576547563076019,220,0.0,26.52824133648983,86731.0,True,The quantum computer,40990, Bachelor
92679,44220,-0.08119875937700272,220,0.0,11.004301442540571,44220.0,True,The quantum computer,42139,.toJson
11379,44220,-0.06147997826337814,220,0.0,8.629810673711807,44220.0,True,The quantum computer,46770,DateString
92785,44220,-0.08121753484010696,220,0.0,9.96911109912537,44220.0,True,The quantum computer,59885,haled
131175,44220,-0.08706016838550568,220,0.0,10.888922256710032,44220.0,True,The quantum computer,76519,/stretchr
323,44220,-0.03692960366606712,220,0.0,5.731748525600837,785.0,True,The quantum computer,82596,(The
68011,44220,-0.0773376002907753,220,0.0,11.84068215277063,44220.0,True,The quantum computer,84220, oferta
36611,44220,-0.07146116346120834,220,0.0,9.13255812135992,44220.0,True,The quantum computer,85071,ngoing
22255,44220,-0.06722655892372131,220,0.0,9.701024881847891,44220.0,True,The quantum computer,92169,“These
148888,44220,-0.09423282742500305,220,0.0,13.199935828494002,44220.0,True,The quantum computer,96064, BroadcastReceiver
103544,44220,-0.08290444314479828,220,0.0,11.991783442890338,44220.0,True,The quantum computer,98669,CLUSION
30698,44220,-0.06998065859079361,106864,0.0,8.606722057882521,44220.0,True,The quantum computer,101930,长期
101744,44220,-0.08261482417583466,220,0.0,10.071069906071177,44220.0,True,The quantum computer,110836,城里
100691,44220,-0.08245301246643066,220,0.0,11.570315725766832,44220.0,True,The quantum computer,123565,鲰
40922,44220,-0.07241345196962357,220,-0.04443611204624176,,,False,The quantum computer,123957,�
58149,44220,-0.07569164782762527,11,0.0,13.214781553157737,44220.0,True,The quantum computer,130270, 건
14617,44220,-0.06366979330778122,220,0.0,11.811972976071981,44220.0,True,The quantum computer,138680, insanların
22312,44220,-0.06724508106708527,220,0.0,8.998866482719114,44220.0,True,The quantum computer,142071,звуч
124373,44220,-0.08570927381515503,220,-0.18027184903621674,,,False,The quantum computer,147490,🏬
17752,2132,-0.06247912719845772,142008,0.0,7.854773355548878,40.0,True,For dinner I made,416,res
76655,2132,-0.07675249129533768,11,0.0,8.939998318430426,39814.0,True,For dinner I made,2511,uilder
52062,2132,-0.07207992672920227,11,0.0,10.129708855360434,39814.0,True,For dinner I made,6225,.pre
54314,2132,-0.07254670560359955,11,0.0,8.018675530802046,39814.0,True,For dinner I made,11431,iones
28141,2132,-0.06625183671712875,220,0.0,10.142905962973135,39814.0,True,For dinner I made,26629, cliente
66551,2132,-0.07488842308521271,220,0.0,27.90380464937802,86731.0,True,For dinner I made,40990, Bachelor
15607,2132,-0.061496801674366,220,0.0,7.791758073269679,39814.0,True,For dinner I made,42139,.toJson
13451,2132,-0.0603187121450901,11,0.0,8.257038873508836,39814.0,True,For dinner I made,46770,DateString
105825,2132,-0.08217352628707886,11,0.0,9.456854103559317,39814.0,True,For dinner I made,59885,haled
149269,2132,-0.09567771106958389,220,0.0,11.443267122638886,39814.0,True,For dinner I made,76519,/stretchr
2299,2132,-0.04754592105746269,220,0.0,6.944926936656205,4792.0,True,For dinner I made,82596,(The
46616,2132,-0.07094135880470276,220,0.0,11.147596996577477,39814.0,True,For dinner I made,84220, oferta
59247,2132,-0.07352229952812195,11,0.0,9.114550744035103,39814.0,True,For dinner I made,85071,ngoing
28333,2132,-0.06631003320217133,220,0.0,9.705253180582762,39814.0,True,For dinner I made,92169,“These
147193,2132,-0.09346725046634674,220,0.0,12.345370231022052,39814.0,True,For dinner I made,96064, BroadcastReceiver
147221,2132,-0.09348847717046738,220,0.0,14.450233829466546,39814.0,True,For dinner I made,98669,CLUSION
16923,2132,-0.06211765110492706,10198,0.0,7.756203333488512,4792.0,True,For dinner I made,101930,长期
99499,2132,-0.08095189183950424,220,0.0,9.93426877770895,39814.0,True,For dinner I made,110836,城里
66002,2132,-0.07478264719247818,220,0.0,10.062484850497622,39814.0,True,For dinner I made,123565,鲰
71118,2132,-0.07573825865983963,220,-0.04671725258231163,,,False,For dinner I made,123957,�
41172,2132,-0.06969952583312988,11,0.0,11.443695945072937,39814.0,True,For dinner I made,130270, 건
45131,2132,-0.07061095535755157,220,0.0,12.195622686277796,39814.0,True,For dinner I made,138680, insanların
41216,2132,-0.06970856338739395,220,0.0,9.02706347681937,39814.0,True,For dinner I made,142071,звуч
143750,2132,-0.09119468182325363,220,-0.1847759634256363,,,False,For dinner I made,147490,🏬
