chord,real,ctx,layer,budget,chord_rank1,best_note_id,best_note_logit,margin,any_note_reach,all_note_reach
food,True,The capital of France is,0,17,False,43096,0.06591399013996124,-0.04033750295639038,True,1.0
food,True,The capital of France is,0,45,False,43096,0.1554574966430664,-0.022039562463760376,True,1.0
food,True,The capital of France is,8,17,False,14074,0.07798627763986588,-0.02829033136367798,True,1.0
food,True,The capital of France is,8,45,False,14074,0.16588488221168518,-0.017742812633514404,True,1.0
food,True,The capital of France is,15,17,False,14074,0.07090401649475098,-0.02847980707883835,True,1.0
food,True,The capital of France is,15,45,False,14074,0.16064919531345367,-0.009996891021728516,True,1.0
food,True,The capital of France is,23,17,False,16002,0.07214202731847763,-0.03407435864210129,True,1.0
food,True,The capital of France is,23,45,False,16002,0.15741649270057678,-0.05301108956336975,True,1.0
food,True,Once upon a time,0,17,False,43096,0.06597906351089478,-0.04014359414577484,True,1.0
food,True,Once upon a time,0,45,False,43096,0.1555042415857315,-0.021604225039482117,True,1.0
food,True,Once upon a time,8,17,False,14074,0.0734933391213417,-0.030852295458316803,True,1.0
food,True,Once upon a time,8,45,False,14074,0.16258689761161804,-0.017834126949310303,True,1.0
food,True,Once upon a time,15,17,False,14074,0.0672927051782608,-0.016527190804481506,True,1.0
food,True,Once upon a time,15,45,False,14074,0.1580401062965393,-0.016352355480194092,True,1.0
food,True,Once upon a time,23,17,False,25744,0.06381656229496002,-0.031320974230766296,True,0.9
food,True,Once upon a time,23,45,False,14074,0.14812910556793213,-0.06734669208526611,True,1.0
animal,True,The capital of France is,0,17,False,5562,0.07314949482679367,-0.03323637694120407,True,0.9
animal,True,The capital of France is,0,45,False,5562,0.15822315216064453,-0.0015162825584411621,True,1.0
animal,True,The capital of France is,8,17,False,5562,0.06437339633703232,-0.03866840898990631,True,0.6
animal,True,The capital of France is,8,45,False,5562,0.15182340145111084,-0.011244982481002808,True,1.0
animal,True,The capital of France is,15,17,False,25265,0.05938252806663513,-0.03617100417613983,True,0.8
animal,True,The capital of France is,15,45,False,51735,0.1543065905570984,-0.0029031038284301758,True,1.0
animal,True,The capital of France is,23,17,False,11958,0.06703625619411469,-0.03133124113082886,True,0.8
animal,True,The capital of France is,23,45,False,11958,0.15610770881175995,-0.04300542175769806,True,1.0
animal,True,Once upon a time,0,17,False,5562,0.07346038520336151,-0.0328318253159523,True,0.9
animal,True,Once upon a time,0,45,False,5562,0.15845605731010437,-0.0013588666915893555,True,1.0
animal,True,Once upon a time,8,17,False,5562,0.06499551236629486,-0.03433439880609512,True,0.7
animal,True,Once upon a time,8,45,False,5562,0.15226806700229645,-0.007201835513114929,True,1.0
animal,True,Once upon a time,15,17,False,11958,0.05617590248584747,-0.028686240315437317,True,1.0
animal,True,Once upon a time,15,45,False,51735,0.14824441075325012,-0.0007917582988739014,True,1.0
animal,True,Once upon a time,23,17,False,39032,0.060207296162843704,-0.02834327146410942,True,0.8
animal,True,Once upon a time,23,45,False,51735,0.1567673683166504,-0.047029972076416016,True,1.0
color,True,The capital of France is,0,17,True,2518,0.09482516348361969,0.002527199685573578,True,0.8
color,True,The capital of France is,0,45,True,13753,0.202297642827034,0.022364675998687744,True,1.0
color,True,The capital of France is,8,17,True,2518,0.09236373007297516,0.0015383362770080566,True,0.8
color,True,The capital of France is,8,45,True,6303,0.2056773155927658,0.026283398270606995,True,1.0
color,True,The capital of France is,15,17,True,2518,0.0997815951704979,0.0025557801127433777,True,0.7
color,True,The capital of France is,15,45,True,6303,0.20577484369277954,0.021732360124588013,True,1.0
color,True,The capital of France is,23,17,False,4158,0.07980947196483612,-0.011593148112297058,True,0.7
color,True,The capital of France is,23,45,True,6303,0.19925567507743835,0.0146208256483078,True,1.0
color,True,Once upon a time,0,17,True,2518,0.09486287832260132,0.0026403814554214478,True,0.8
