layer,lambda
0,2.692175097627595
1,0.1642036283967868
2,0.23084503979168372
3,0.10179367383969314
4,0.064752304994125
5,0.0005042098561005279
6,0.005541264940528823
7,0.022478117091966555
8,-0.013930599657810828
9,-0.024975202023275214
10,-0.001444860373034833
11,0.007434789967010434
12,-0.02078301036481994
13,0.036724229353415766
14,0.031075401904539886
15,0.0022565029759773793
16,0.02338409936679892
17,0.05856491429326966
18,0.07455566041640739
19,0.08303179239139422
20,0.09976137295216912
21,0.11719596696526557
22,0.08653121429245358
23,0.10432532989854343
24,0.128484749883253
25,0.11891205677887462
26,0.1492391618855409
27,0.0259699234944549
