prompt,gap,f_rank,ent_nat,cosang,ent_anti,label,seeds
ask,8.83,100,1.97,0.098,2.47,1,YYn
japan,7.2,204,3.29,0.086,0.15,1,YnY
spain,5.65,42,2.84,0.096,0.13,1,YYY
tower,13.47,640,0.37,0.062,0.28,0,nnn
austr,14.03,1096,1.2,0.061,1.1,0,nnn
visitnl,6.59,233,4.51,0.091,4.84,1,YYn
olymp,5.58,40,2.53,0.107,3.23,1,YYn
france,5.98,111,4.11,0.088,0.93,1,YYn
paris,5.51,113,4.04,0.098,3.76,1,YnY
traveld,4.18,46,5.26,0.116,3.87,1,nYY
bern,13.3,3458,1.87,0.04,2.27,0,nnn
concert,11.78,1743,2.04,0.048,2.35,1,YYn
