model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,0,60,[,True,False,False,True,True,True,1.0,0.05679655075073242,0.02630092017352581,9.293498992919922,35.70650100708008,1.0,True,False,0.29876264929771423
EleutherAI/pythia-160m,The capital of France is,0,75,j,True,False,False,True,True,True,1.0,0.03574776649475098,0.016584226861596107,6.598457336425781,38.40154266357422,1.0,True,False,0.3013487458229065
EleutherAI/pythia-160m,The capital of France is,0,80,o,True,False,False,True,True,True,1.0,0.1107335090637207,0.050572026520967484,15.953180313110352,29.04681968688965,1.0,True,False,0.35200831294059753
EleutherAI/pythia-160m,The capital of France is,0,81,p,True,False,False,True,True,True,1.0,0.05694007873535156,0.02623656764626503,9.965385437011719,35.03461456298828,1.0,True,False,0.3245663642883301
EleutherAI/pythia-160m,The capital of France is,0,264,ed,True,False,False,True,True,True,1.0,0.11555743217468262,0.05293045938014984,13.377145767211914,31.622854232788086,1.0,True,False,0.3832164406776428
EleutherAI/pythia-160m,The capital of France is,0,268, p,True,False,False,True,True,True,1.0,0.05968046188354492,0.02734234929084778,11.534908294677734,33.465091705322266,1.0,True,False,0.2971888482570648
EleutherAI/pythia-160m,The capital of France is,0,270, b,True,False,False,True,True,True,1.0,0.029964923858642578,0.01378951221704483,7.568534851074219,37.43146514892578,1.0,True,False,0.2852404713630676
EleutherAI/pythia-160m,The capital of France is,0,324,ad,True,False,False,True,True,True,1.0,0.08452844619750977,0.03877508267760277,13.302724838256836,31.697275161743164,1.0,True,False,0.3336738049983978
EleutherAI/pythia-160m,The capital of France is,0,351,od,True,False,False,True,True,True,1.0,0.11530256271362305,0.05197540670633316,21.465831756591797,23.534168243408203,1.0,True,False,0.3438238501548767
EleutherAI/pythia-160m,The capital of France is,0,359, we,True,False,False,True,True,True,1.0,0.06785058975219727,0.030914923176169395,13.090141296386719,31.90985870361328,1.0,True,False,0.2921333611011505
EleutherAI/pythia-160m,The capital of France is,0,369, was,False,False,False,True,True,True,2.0,-0.0022165775299072266,-0.0010277106193825603,0.0,45.55356979370117,1.0,True,False,0.2522128224372864
EleutherAI/pythia-160m,The capital of France is,0,389, com,True,False,False,True,True,True,1.0,0.12514138221740723,0.055996671319007874,23.547597885131836,21.452402114868164,1.0,True,False,0.3241788446903229
EleutherAI/pythia-160m,The capital of France is,0,398,ers,True,False,False,True,True,True,1.0,0.165391206741333,0.07385547459125519,23.070680618286133,21.929319381713867,1.0,True,False,0.3766348659992218
EleutherAI/pythia-160m,The capital of France is,0,416, R,True,False,False,True,True,True,1.0,0.05327320098876953,0.02446877956390381,11.183998107910156,33.816001892089844,1.0,True,False,0.2701759934425354
EleutherAI/pythia-160m,The capital of France is,0,419, ha,True,False,False,True,True,True,1.0,0.06940579414367676,0.031727418303489685,12.600540161132812,32.39945983886719,1.0,True,False,0.3277069330215454
EleutherAI/pythia-160m,The capital of France is,0,451,ial,True,False,False,True,True,True,1.0,0.11185669898986816,0.05094803497195244,15.80421257019043,29.19578742980957,1.0,True,False,0.3698815405368805
EleutherAI/pythia-160m,The capital of France is,0,494,able,True,False,False,True,True,True,1.0,0.08009910583496094,0.037008870393037796,10.106796264648438,34.89320373535156,1.0,True,False,0.35500040650367737
EleutherAI/pythia-160m,The capital of France is,0,495, 3,True,False,False,True,True,True,1.0,0.01092076301574707,0.005052031483501196,6.232181549072266,38.767818450927734,1.0,True,False,0.1760614663362503
EleutherAI/pythia-160m,The capital of France is,0,528,ous,True,False,False,True,True,True,1.0,0.0913548469543457,0.041911881417036057,12.123600006103516,32.876399993896484,1.0,True,False,0.37491947412490845
EleutherAI/pythia-160m,The capital of France is,0,598, up,True,False,False,True,True,True,1.0,0.11372685432434082,0.05106363072991371,19.586143493652344,25.413856506347656,1.0,True,False,0.3034505844116211
EleutherAI/pythia-160m,The capital of France is,0,606,ang,True,False,False,True,True,True,1.0,0.083587646484375,0.03860928863286972,13.000324249267578,31.999675750732422,1.0,True,False,0.34365829825401306
EleutherAI/pythia-160m,The capital of France is,0,609,are,True,False,False,True,True,True,1.0,0.07489371299743652,0.034631069749593735,11.086246490478516,33.913753509521484,1.0,True,False,0.32972580194473267
EleutherAI/pythia-160m,The capital of France is,0,684,ates,True,False,False,True,True,True,1.0,0.07988405227661133,0.036658305674791336,13.490472793579102,31.5095272064209,1.0,True,False,0.3453785479068756
EleutherAI/pythia-160m,The capital of France is,0,695,ric,True,False,False,True,True,True,1.0,0.09615397453308105,0.043783679604530334,18.85818099975586,26.14181900024414,1.0,True,False,0.35293135046958923
EleutherAI/pythia-160m,The capital of France is,0,720,ject,True,False,False,True,True,True,1.0,0.09938955307006836,0.045944634824991226,14.180322647094727,30.819677352905273,1.0,True,False,0.3422251343727112
EleutherAI/pythia-160m,The capital of France is,0,723,ings,True,False,False,True,True,True,1.0,0.15085411071777344,0.0687490925192833,15.789377212524414,29.210622787475586,1.0,True,False,0.40382272005081177
EleutherAI/pythia-160m,The capital of France is,0,778, may,True,False,False,True,True,True,1.0,0.013872623443603516,0.006398255005478859,3.2411041259765625,41.75889587402344,1.0,True,False,0.2620701491832733
EleutherAI/pythia-160m,The capital of France is,0,807, year,True,False,False,True,True,True,1.0,0.10202193260192871,0.045412205159664154,26.6324462890625,18.3675537109375,1.0,True,False,0.26806432008743286
EleutherAI/pythia-160m,The capital of France is,0,864,hen,True,False,False,True,True,True,1.0,0.09511303901672363,0.043505121022462845,14.030767440795898,30.9692325592041,1.0,True,False,0.34600767493247986
EleutherAI/pythia-160m,The capital of France is,0,883,11,False,False,False,True,True,True,2.0,-0.0018448829650878906,-0.0008616088889539242,0.0,45.56563186645508,1.0,True,False,0.18946771323680878
EleutherAI/pythia-160m,The capital of France is,0,888,ident,True,False,False,True,True,True,1.0,0.08943462371826172,0.04115097224712372,14.913665771484375,30.086334228515625,1.0,True,False,0.3237609565258026
EleutherAI/pythia-160m,The capital of France is,0,896, back,True,False,False,True,True,True,1.0,0.1384134292602539,0.061139341443777084,27.212446212768555,17.787553787231445,1.0,True,False,0.28798651695251465
EleutherAI/pythia-160m,The capital of France is,0,927, includ,True,False,False,True,True,True,1.0,0.05236363410949707,0.023785876110196114,17.02077865600586,27.97922134399414,1.0,True,False,0.30799153447151184
EleutherAI/pythia-160m,The capital of France is,0,977,other,True,False,False,True,True,True,1.0,0.04927349090576172,0.02253015711903572,14.403314590454102,30.5966854095459,1.0,True,False,0.295927494764328
EleutherAI/pythia-160m,The capital of France is,0,1002, produ,True,False,False,True,True,True,1.0,0.03678417205810547,0.016979150474071503,9.22952651977539,35.77047348022461,1.0,True,False,0.2867116928100586
EleutherAI/pythia-160m,The capital of France is,0,1052, 200,True,False,False,True,True,True,1.0,0.02577972412109375,0.011841326020658016,10.530693054199219,34.46930694580078,1.0,True,False,0.15573589503765106
EleutherAI/pythia-160m,The capital of France is,0,1077, very,True,False,False,True,True,True,1.0,0.07553362846374512,0.03360839933156967,25.917612075805664,19.082387924194336,1.0,True,False,0.23920641839504242
EleutherAI/pythia-160m,The capital of France is,0,1080,ator,True,False,False,True,True,True,1.0,0.09075617790222168,0.041103240102529526,18.967588424682617,26.032411575317383,1.0,True,False,0.3369138836860657
EleutherAI/pythia-160m,The capital of France is,0,1104,ients,True,False,False,True,True,True,1.0,0.08225202560424805,0.038642995059490204,10.207008361816406,34.792991638183594,1.0,True,False,0.37804409861564636
EleutherAI/pythia-160m,The capital of France is,0,1123,ave,True,False,False,True,True,True,1.0,0.06558632850646973,0.030331838876008987,9.65646743774414,35.34353256225586,1.0,True,False,0.34136632084846497
EleutherAI/pythia-160m,The capital of France is,0,1138,""">",True,False,False,True,True,True,1.0,0.05723881721496582,0.026460371911525726,10.542686462402344,34.457313537597656,1.0,True,False,0.272743284702301
EleutherAI/pythia-160m,The capital of France is,0,1140, tra,True,False,False,True,True,True,1.0,0.12286591529846191,0.05503696948289871,24.084274291992188,20.915725708007812,1.0,True,False,0.3225400149822235
EleutherAI/pythia-160m,The capital of France is,0,1149, gu,True,False,False,True,True,True,1.0,0.12157225608825684,0.054352544248104095,25.81095314025879,19.18904685974121,1.0,True,False,0.3187485933303833
EleutherAI/pythia-160m,The capital of France is,0,1185, dire,True,False,False,True,True,True,1.0,0.061269521713256836,0.028268350288271904,11.303882598876953,33.69611740112305,1.0,True,False,0.3393056392669678
EleutherAI/pythia-160m,The capital of France is,0,1219, Al,True,False,False,True,True,True,1.0,0.06842350959777832,0.031187541782855988,15.264177322387695,29.735822677612305,1.0,True,False,0.2817581295967102
EleutherAI/pythia-160m,The capital of France is,0,1223, while,True,False,False,True,True,True,1.0,0.08115077018737793,0.03658263757824898,20.468706130981445,24.531293869018555,1.0,True,False,0.2684856355190277
EleutherAI/pythia-160m,The capital of France is,0,1239, read,True,False,False,True,True,True,1.0,0.10680532455444336,0.047299645841121674,26.181053161621094,18.818946838378906,1.0,True,False,0.2907528579235077
EleutherAI/pythia-160m,The capital of France is,0,1251,ng,True,False,False,True,True,True,1.0,0.07834029197692871,0.03599131479859352,12.121292114257812,32.87870788574219,1.0,True,False,0.3534139096736908
EleutherAI/pythia-160m,The capital of France is,0,1427,ulation,True,False,False,True,True,True,1.0,0.06849813461303711,0.031373120844364166,16.62450408935547,28.37549591064453,1.0,True,False,0.27753791213035583
EleutherAI/pythia-160m,The capital of France is,0,1434,acter,True,False,False,True,True,True,1.0,0.11504864692687988,0.05293972045183182,17.515722274780273,27.484277725219727,1.0,True,False,0.34446418285369873
EleutherAI/pythia-160m,The capital of France is,0,1450,::,True,False,False,True,True,True,1.0,0.14220976829528809,0.06390444934368134,22.03420639038086,22.96579360961914,1.0,True,False,0.3603542149066925
EleutherAI/pythia-160m,The capital of France is,0,1453, control,True,False,False,True,True,True,1.0,0.10073614120483398,0.04487563669681549,24.58017349243164,20.41982650756836,1.0,True,False,0.26845118403434753
EleutherAI/pythia-160m,The capital of France is,0,1460, pur,True,False,False,True,True,True,1.0,0.12465548515319824,0.055742669850587845,24.27083969116211,20.72916030883789,1.0,True,False,0.3307362496852875
EleutherAI/pythia-160m,The capital of France is,0,1525,99,True,False,False,True,True,True,1.0,0.030788421630859375,0.0142647260800004,7.577972412109375,37.422027587890625,1.0,True,False,0.21338318288326263
EleutherAI/pythia-160m,The capital of France is,0,1546,ural,True,False,False,True,True,True,1.0,0.11931800842285156,0.05404295772314072,20.7774715423584,24.2225284576416,1.0,True,False,0.3620150685310364
EleutherAI/pythia-160m,The capital of France is,0,1592,fer,True,False,False,True,True,True,1.0,0.11495423316955566,0.05253509804606438,16.68284797668457,28.31715202331543,1.0,True,False,0.3578009605407715
EleutherAI/pythia-160m,The capital of France is,0,1603,}(,True,False,False,True,True,True,1.0,0.027855634689331055,0.013058905489742756,6.063610076904297,38.9363899230957,1.0,True,False,0.2042873352766037
EleutherAI/pythia-160m,The capital of France is,0,1710,gram,True,False,False,True,True,True,1.0,0.07265591621398926,0.03329738974571228,15.149293899536133,29.850706100463867,1.0,True,False,0.34902554750442505
