model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
EleutherAI/pythia-160m,The capital of France is,0,60,[,5692,42495,40980,3379,38806,38,
EleutherAI/pythia-160m,The capital of France is,0,75,j,2762,29777,26717,3134,27941,20,
EleutherAI/pythia-160m,The capital of France is,0,80,o,798,32099,37015,1636,27289,1,
EleutherAI/pythia-160m,The capital of France is,0,81,p,1568,28881,40676,1388,24867,4,
EleutherAI/pythia-160m,The capital of France is,0,264,ed,4783,47393,49947,3431,43060,1,
EleutherAI/pythia-160m,The capital of France is,0,268, p,787,16270,13578,676,15027,4,
EleutherAI/pythia-160m,The capital of France is,0,270, b,1216,17682,18711,1950,16087,18,
EleutherAI/pythia-160m,The capital of France is,0,324,ad,946,31524,35262,804,25906,1,
EleutherAI/pythia-160m,The capital of France is,0,351,od,28,9306,13733,28,8825,1,
EleutherAI/pythia-160m,The capital of France is,0,359, we,522,18087,17654,544,14397,1,
EleutherAI/pythia-160m,The capital of France is,0,369, was,4108,25669,27795,3269,22170,252,
EleutherAI/pythia-160m,The capital of France is,0,389, com,7,3026,15127,9,2109,1,
EleutherAI/pythia-160m,The capital of France is,0,398,ers,23,16368,21514,21,12609,1,
EleutherAI/pythia-160m,The capital of France is,0,416, R,862,12978,13909,1069,15568,3,
EleutherAI/pythia-160m,The capital of France is,0,419, ha,618,19778,17101,269,16282,1,
EleutherAI/pythia-160m,The capital of France is,0,451,ial,955,40003,33267,732,31166,1,
EleutherAI/pythia-160m,The capital of France is,0,494,able,9353,48296,50060,9041,45786,30,
EleutherAI/pythia-160m,The capital of France is,0,495, 3,1775,15368,22659,1853,16307,58,
EleutherAI/pythia-160m,The capital of France is,0,528,ous,3118,45121,47991,2788,37391,2,
EleutherAI/pythia-160m,The capital of France is,0,598, up,56,10025,18911,50,5792,1,
EleutherAI/pythia-160m,The capital of France is,0,606,ang,3229,42424,45138,3911,38209,2,
EleutherAI/pythia-160m,The capital of France is,0,609,are,3961,39664,43836,4158,37643,8,
EleutherAI/pythia-160m,The capital of France is,0,684,ates,1618,39778,44931,1695,32700,1,
EleutherAI/pythia-160m,The capital of France is,0,695,ric,198,22242,24107,212,21360,1,
EleutherAI/pythia-160m,The capital of France is,0,720,ject,2252,41547,47656,3285,36721,1,
EleutherAI/pythia-160m,The capital of France is,0,723,ings,3736,48281,49877,5432,43999,1,
EleutherAI/pythia-160m,The capital of France is,0,778, may,2680,22783,35768,3922,21511,80,
EleutherAI/pythia-160m,The capital of France is,0,807, year,2,1843,2862,4,1246,1,
EleutherAI/pythia-160m,The capital of France is,0,864,hen,855,35105,30796,1093,27427,1,
EleutherAI/pythia-160m,The capital of France is,0,883,11,2348,15401,17152,3602,18400,68,
EleutherAI/pythia-160m,The capital of France is,0,888,ident,464,20100,28023,505,23106,1,
EleutherAI/pythia-160m,The capital of France is,0,896, back,2,1618,4641,1,1049,1,
EleutherAI/pythia-160m,The capital of France is,0,927, includ,54,6379,6764,120,4570,1,
EleutherAI/pythia-160m,The capital of France is,0,977,other,718,30985,41148,1213,26690,1,
EleutherAI/pythia-160m,The capital of France is,0,1002, produ,877,13999,20715,1146,14557,7,
EleutherAI/pythia-160m,The capital of France is,0,1052, 200,303,4863,4242,276,6314,1,
EleutherAI/pythia-160m,The capital of France is,0,1077, very,2,224,169,1,197,1,
EleutherAI/pythia-160m,The capital of France is,0,1080,ator,119,19186,20922,201,13971,1,
EleutherAI/pythia-160m,The capital of France is,0,1104,ients,15079,48303,50118,13833,47867,28,
EleutherAI/pythia-160m,The capital of France is,0,1123,ave,3465,43318,45579,4377,37285,4,
EleutherAI/pythia-160m,The capital of France is,0,1138,""">",1495,25416,21824,2193,24876,3,
EleutherAI/pythia-160m,The capital of France is,0,1140, tra,6,2586,6404,5,1748,1,
EleutherAI/pythia-160m,The capital of France is,0,1149, gu,2,867,4150,2,786,1,
EleutherAI/pythia-160m,The capital of France is,0,1185, dire,2716,36026,40783,3399,30016,10,
EleutherAI/pythia-160m,The capital of France is,0,1219, Al,143,8388,7020,200,6443,1,
EleutherAI/pythia-160m,The capital of France is,0,1223, while,103,14816,11901,82,10608,1,
EleutherAI/pythia-160m,The capital of France is,0,1239, read,2,1315,5434,2,655,1,
EleutherAI/pythia-160m,The capital of France is,0,1251,ng,1427,35400,44029,1084,28805,1,
EleutherAI/pythia-160m,The capital of France is,0,1427,ulation,359,23332,28735,320,21188,1,
EleutherAI/pythia-160m,The capital of France is,0,1434,acter,343,32637,29583,386,25945,1,
EleutherAI/pythia-160m,The capital of France is,0,1450,::,29,20453,18524,20,10827,1,
EleutherAI/pythia-160m,The capital of France is,0,1453, control,7,6230,7767,5,3663,1,
EleutherAI/pythia-160m,The capital of France is,0,1460, pur,5,2305,9107,4,1739,1,
EleutherAI/pythia-160m,The capital of France is,0,1525,99,536,13329,11191,399,13000,2,
EleutherAI/pythia-160m,The capital of France is,0,1546,ural,133,20548,31251,305,19474,1,
EleutherAI/pythia-160m,The capital of France is,0,1592,fer,552,31129,41855,508,26554,1,
EleutherAI/pythia-160m,The capital of France is,0,1603,}(,1731,27037,24651,1933,26295,3,
EleutherAI/pythia-160m,The capital of France is,0,1710,gram,865,32183,43065,1311,27991,1,
EleutherAI/pythia-160m,The capital of France is,0,1740, four,9,843,1659,11,1350,1,
EleutherAI/pythia-160m,The capital of France is,0,1751,ene,186,23884,25218,152,20811,1,
EleutherAI/pythia-160m,The capital of France is,0,1768,bs,5407,44427,44005,6859,41209,10,
EleutherAI/pythia-160m,The capital of France is,0,1779,Ch,14872,39112,42166,14917,41478,646,
EleutherAI/pythia-160m,The capital of France is,0,1788,lection,2848,40343,44012,1717,39857,1,
EleutherAI/pythia-160m,The capital of France is,0,1813,icro,199,22963,27009,190,21795,1,
EleutherAI/pythia-160m,The capital of France is,4,60,[,3239,31497,36555,3220,27987,20,
EleutherAI/pythia-160m,The capital of France is,4,75,j,10278,37082,41521,9305,35710,510,
EleutherAI/pythia-160m,The capital of France is,4,80,o,648,21996,25937,793,18443,1,
EleutherAI/pythia-160m,The capital of France is,4,81,p,4320,30119,32359,3864,28137,68,
EleutherAI/pythia-160m,The capital of France is,4,264,ed,7852,46680,50225,8241,42237,33,
EleutherAI/pythia-160m,The capital of France is,4,268, p,2559,19258,25946,3019,18567,75,
EleutherAI/pythia-160m,The capital of France is,4,270, b,1010,10919,15279,787,10631,20,
EleutherAI/pythia-160m,The capital of France is,4,324,ad,658,20846,33515,650,14925,1,
EleutherAI/pythia-160m,The capital of France is,4,351,od,42,5278,9599,69,5285,1,
EleutherAI/pythia-160m,The capital of France is,4,359, we,1210,17071,17364,1294,12497,25,
EleutherAI/pythia-160m,The capital of France is,4,369, was,5218,23117,27865,6143,20842,622,
EleutherAI/pythia-160m,The capital of France is,4,389, com,35,3801,10650,56,3228,1,
EleutherAI/pythia-160m,The capital of France is,4,398,ers,1198,31218,36505,1542,24284,1,
EleutherAI/pythia-160m,The capital of France is,4,416, R,4711,22688,24490,6155,23772,225,
EleutherAI/pythia-160m,The capital of France is,4,419, ha,114,5360,8008,170,4789,1,
EleutherAI/pythia-160m,The capital of France is,4,451,ial,1391,32702,40897,1597,26849,1,
EleutherAI/pythia-160m,The capital of France is,4,494,able,3134,43259,43526,2593,32110,8,
EleutherAI/pythia-160m,The capital of France is,4,495, 3,1627,11171,11365,1556,11406,87,
EleutherAI/pythia-160m,The capital of France is,4,528,ous,2181,35917,45269,1552,28704,4,
EleutherAI/pythia-160m,The capital of France is,4,598, up,14,2810,5152,14,1736,1,
EleutherAI/pythia-160m,The capital of France is,4,606,ang,889,26801,31020,789,18887,1,
EleutherAI/pythia-160m,The capital of France is,4,609,are,520,17950,20469,492,16309,1,
EleutherAI/pythia-160m,The capital of France is,4,684,ates,2944,35846,46077,2202,30897,5,
EleutherAI/pythia-160m,The capital of France is,4,695,ric,1001,23850,23256,1117,23992,1,
EleutherAI/pythia-160m,The capital of France is,4,720,ject,3398,37220,29945,2716,31148,14,
EleutherAI/pythia-160m,The capital of France is,4,723,ings,8141,48219,49855,9446,43922,25,
EleutherAI/pythia-160m,The capital of France is,4,778, may,895,10407,15571,1132,7975,39,
EleutherAI/pythia-160m,The capital of France is,4,807, year,9,1745,5195,7,1394,1,
EleutherAI/pythia-160m,The capital of France is,4,864,hen,2203,32558,40089,2823,26423,8,
EleutherAI/pythia-160m,The capital of France is,4,883,11,5021,18492,25284,4700,21522,396,
EleutherAI/pythia-160m,The capital of France is,4,888,ident,3722,29360,32982,4047,31338,13,
EleutherAI/pythia-160m,The capital of France is,4,896, back,1,570,3348,1,292,1,15.209827423095703
EleutherAI/pythia-160m,The capital of France is,4,927, includ,101,4799,3102,102,3658,1,
EleutherAI/pythia-160m,The capital of France is,4,977,other,250,14844,21562,243,12725,1,
EleutherAI/pythia-160m,The capital of France is,4,1002, produ,3801,19932,24947,3836,20999,144,
EleutherAI/pythia-160m,The capital of France is,4,1052, 200,1315,8088,8963,1154,9827,56,
