op,prompt,angle_eff,gap,robust,seeds
pure_rot,ask,11.58,8.828,1,YY
pure_rot,fr,8.21,5.977,0,nn
lin03,ask,3.47,8.828,0,nn
lin03,fr,2.46,5.977,0,nn
lin05,ask,5.79,8.828,0,Yn
lin05,fr,4.1,5.977,0,nn
lin07,ask,8.11,8.828,1,YY
lin07,fr,5.75,5.977,0,nn
slerp05,ask,5.79,8.828,0,Yn
slerp05,fr,4.1,5.977,0,nn
nlerp05,ask,5.79,8.828,0,Yn
nlerp05,fr,4.1,5.977,0,nn
geom,ask,5.8,8.828,0,Yn
geom,fr,4.23,5.977,0,nn
harm,ask,18.74,8.828,0,nn
harm,fr,64.03,5.977,0,nn
quad,ask,110.14,8.828,0,nn
quad,fr,115.99,5.977,0,nn
contraharm,ask,18.62,8.828,0,Yn
contraharm,fr,64.0,5.977,0,nn
pow3,ask,6.62,8.828,0,Yn
pow3,fr,4.54,5.977,0,nn
max,ask,8.11,8.828,0,Yn
max,fr,5.78,5.977,0,nn
min,ask,8.24,8.828,0,Yn
min,fr,5.81,5.977,0,nn
absmax,ask,8.42,8.828,1,YY
absmax,fr,5.85,5.977,0,nn
