model,frac,med_cell,cell_reach
Qwen2-1.5B,0.0,6.656240463256836,100.0
Qwen2-1.5B,0.33,6.5461907386779785,100.0
Qwen2-1.5B,0.67,6.049136161804199,100.0
Qwen2-1.5B,0.99,6.8668060302734375,100.0
Qwen2-0.5B,0.0,8.126898765563965,100.0
Qwen2-0.5B,0.33,10.012031555175781,100.0
Qwen2-0.5B,0.67,9.068512916564941,100.0
Qwen2-0.5B,0.99,8.611433029174805,100.0
gpt2,0.0,9.847967147827148,100.0
gpt2,0.33,10.406503677368164,100.0
gpt2,0.67,13.077836990356445,98.95833333333334
gpt2,0.99,0.8164795637130737,100.0
SmolLM,0.0,8.496038436889648,100.0
SmolLM,0.33,8.710535049438477,100.0
SmolLM,0.67,10.160337448120117,100.0
SmolLM,0.99,4.5506792068481445,100.0
pythia,0.0,9.394713401794434,100.0
pythia,0.33,9.76774787902832,100.0
pythia,0.67,8.693364143371582,100.0
pythia,0.99,2.6288628578186035,100.0
