layer,lambda
0,2.725709468094936
1,0.17304370509618425
2,0.20846092869252916
3,0.1272957308736759
4,0.10823912430938598
5,0.09723966112012318
6,0.07271553642262761
7,0.04675709755010838
8,0.059805553795281206
9,0.04322205967699836
10,0.10356081011904476
11,0.1456642448745686
12,0.03350835782642544
13,0.08836595880592314
14,0.012669109588759176
15,0.024065744965017535
16,0.062362384782577385
17,0.04335658798533315
18,0.06362184980916231
19,0.09062805146225296
20,0.06396563150179667
21,0.15849077678471266
22,0.07857657253885082
23,0.1344308804908394
24,0.14409532653415505
25,0.12234314090427206
26,0.10777885733388531
27,0.12657427981692704
28,0.10021621674217408
29,-3.125854193162311
