layer,lambda
0,2.4445001208089487
1,0.26116204431944545
2,0.19640994611797483
3,0.048498483104031785
4,0.022572553867481544
5,0.06338342950191096
6,0.005230800749463804
7,-0.006082090198242484
8,0.021030803461072344
9,0.024282265351485522
10,0.01674916771523578
11,0.02572009897250648
12,0.011963928256151933
13,0.04810203783757782
14,0.03224397486944385
15,0.076444495049996
16,0.07108687099863066
17,0.0781748428072486
18,0.0915527601844142
19,0.10989591246808322
20,0.1360071492241274
21,0.15224046461465787
22,0.11780440195261728
23,1.3154267279021365
