prompt,gap,angle,native_gate,coherent
ask,8.828,3.0,0,0
ask,8.828,6.0,0,0
ask,8.828,9.0,0,1
ask,8.828,12.0,0,1
japan,7.203,3.0,0,0
japan,7.203,6.0,0,0
japan,7.203,9.0,0,0
japan,7.203,12.0,0,0
eif,7.727,3.0,0,0
eif,7.727,6.0,0,0
eif,7.727,9.0,0,0
eif,7.727,12.0,0,0
olymp,5.578,3.0,0,0
olymp,5.578,6.0,0,0
olymp,5.578,9.0,0,0
olymp,5.578,12.0,0,0
travel,4.18,3.0,0,0
travel,4.18,6.0,0,0
travel,4.18,9.0,0,0
travel,4.18,12.0,0,0
visit,9.512,3.0,0,0
visit,9.512,6.0,0,0
visit,9.512,9.0,0,0
visit,9.512,12.0,0,0
france,5.977,3.0,0,0
france,5.977,6.0,0,0
france,5.977,9.0,0,0
france,5.977,12.0,0,0
