prompt,gap,f_rank,angle,seeds,n_coherent,robust
ask,8.83,100,4.0,nnn,0,0
ask,8.83,100,7.0,YYn,2,1
ask,8.83,100,10.0,YYY,3,1
japan,7.2,204,4.0,nnn,0,0
japan,7.2,204,7.0,YnY,2,1
japan,7.2,204,10.0,YnY,2,1
spain,5.65,42,4.0,Ynn,1,0
spain,5.65,42,7.0,YYY,3,1
spain,5.65,42,10.0,YYY,3,1
tower,13.47,640,4.0,nnn,0,0
tower,13.47,640,7.0,nnn,0,0
tower,13.47,640,10.0,nYn,1,0
austr,14.03,1096,4.0,nnn,0,0
austr,14.03,1096,7.0,nnn,0,0
austr,14.03,1096,10.0,nnn,0,0
visitnl,6.59,233,4.0,nnn,0,0
visitnl,6.59,233,7.0,YYn,2,1
visitnl,6.59,233,10.0,YYY,3,1
olymp,5.58,40,4.0,YYn,2,1
olymp,5.58,40,7.0,YYn,2,1
olymp,5.58,40,10.0,YYn,2,1
france,5.98,111,4.0,nYn,1,0
france,5.98,111,7.0,YYn,2,1
france,5.98,111,10.0,YYn,2,1
paris,5.51,113,4.0,Ynn,1,0
paris,5.51,113,7.0,YnY,2,1
paris,5.51,113,10.0,YnY,2,1
traveld,4.18,46,4.0,nnn,0,0
traveld,4.18,46,7.0,nYY,2,1
traveld,4.18,46,10.0,nYY,2,1
bern,13.3,3458,4.0,nnn,0,0
bern,13.3,3458,7.0,nnn,0,0
bern,13.3,3458,10.0,nnn,0,0
concert,11.78,1743,4.0,nnn,0,0
concert,11.78,1743,7.0,YYn,2,1
concert,11.78,1743,10.0,YYY,3,1
