prompt,gap,f_rank,angle,window,seeds,n_coherent,robust
ask,8.83,100,10.0,1,YYY,3,1
ask,8.83,100,10.0,2,YYY,3,1
japan,7.2,204,10.0,1,YnY,2,1
japan,7.2,204,10.0,2,YnY,2,1
spain,5.65,42,10.0,1,YnY,2,1
spain,5.65,42,10.0,2,YYY,3,1
tower,13.47,640,10.0,1,nYn,1,0
tower,13.47,640,10.0,2,nYn,1,0
austr,14.03,1096,10.0,1,nnn,0,0
austr,14.03,1096,10.0,2,nnn,0,0
visitnl,6.59,233,10.0,1,YYY,3,1
visitnl,6.59,233,10.0,2,YYY,3,1
olymp,5.58,40,10.0,1,YYn,2,1
olymp,5.58,40,10.0,2,YYn,2,1
france,5.98,111,10.0,1,Ynn,1,0
france,5.98,111,10.0,2,YYn,2,1
paris,5.51,113,10.0,1,YnY,2,1
paris,5.51,113,10.0,2,YnY,2,1
traveld,4.18,46,10.0,1,nYY,2,1
traveld,4.18,46,10.0,2,nYY,2,1
bern,13.3,3458,10.0,1,nnn,0,0
bern,13.3,3458,10.0,2,nnn,0,0
concert,11.78,1743,10.0,1,YYY,3,1
concert,11.78,1743,10.0,2,YYY,3,1
