model,condition,task,acc
Qwen2-0.5B-Instruct,base,mmlu_abstract_algebra,0.34
Qwen2-0.5B-Instruct,base,mmlu_anatomy,0.4666666666666667
Qwen2-0.5B-Instruct,base,mmlu_astronomy,0.3815789473684211
Qwen2-0.5B-Instruct,persist-a0.1,mmlu_abstract_algebra,0.34
Qwen2-0.5B-Instruct,persist-a0.1,mmlu_anatomy,0.4666666666666667
Qwen2-0.5B-Instruct,persist-a0.1,mmlu_astronomy,0.3815789473684211
Qwen2-0.5B-Instruct,persist-a0.3,mmlu_abstract_algebra,0.33
Qwen2-0.5B-Instruct,persist-a0.3,mmlu_anatomy,0.45925925925925926
Qwen2-0.5B-Instruct,persist-a0.3,mmlu_astronomy,0.375
gemma-3-1b-it,base,mmlu_abstract_algebra,0.27
gemma-3-1b-it,base,mmlu_anatomy,0.4444444444444444
gemma-3-1b-it,base,mmlu_astronomy,0.375
gemma-3-1b-it,persist-a0.1,mmlu_abstract_algebra,0.27
gemma-3-1b-it,persist-a0.1,mmlu_anatomy,0.45185185185185184
gemma-3-1b-it,persist-a0.1,mmlu_astronomy,0.375
gemma-3-1b-it,persist-a0.3,mmlu_abstract_algebra,0.27
gemma-3-1b-it,persist-a0.3,mmlu_anatomy,0.4444444444444444
gemma-3-1b-it,persist-a0.3,mmlu_astronomy,0.3815789473684211
