model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,0,60,[,False,False,False,False,False,False,5692.0,-0.1265580654144287,-0.16659052670001984,0.0,35.70650100708008,1.0,True,False,0.29876264929771423
EleutherAI/pythia-160m,The capital of France is,0,75,j,False,False,False,False,False,False,2762.0,-0.1135181188583374,-0.145040363073349,0.0,38.40154266357422,1.0,True,False,0.3013487458229065
EleutherAI/pythia-160m,The capital of France is,0,80,o,False,False,False,False,False,False,798.0,-0.08528631925582886,-0.1075034812092781,0.0,29.04681968688965,1.0,True,False,0.35200831294059753
EleutherAI/pythia-160m,The capital of France is,0,81,p,False,False,False,False,False,False,1568.0,-0.10186553001403809,-0.1286756694316864,0.0,35.03461456298828,1.0,True,False,0.3245663642883301
EleutherAI/pythia-160m,The capital of France is,0,264,ed,False,False,False,False,False,False,4783.0,-0.12609398365020752,-0.1684556007385254,0.0,31.622854232788086,1.0,True,False,0.3832164406776428
EleutherAI/pythia-160m,The capital of France is,0,268, p,False,False,False,False,False,False,787.0,-0.08459126949310303,-0.10405640304088593,0.0,33.465091705322266,1.0,True,False,0.2971888482570648
EleutherAI/pythia-160m,The capital of France is,0,270, b,False,False,False,False,False,False,1216.0,-0.09246164560317993,-0.11438336968421936,0.0,37.43146514892578,1.0,True,False,0.2852404713630676
EleutherAI/pythia-160m,The capital of France is,0,324,ad,False,False,False,False,False,False,946.0,-0.0932040810585022,-0.11754604429006577,0.0,31.697275161743164,1.0,True,False,0.3336738049983978
EleutherAI/pythia-160m,The capital of France is,0,351,od,False,False,False,False,False,False,28.0,-0.042091548442840576,-0.050174448639154434,0.0,23.534168243408203,1.0,True,False,0.3438238501548767
EleutherAI/pythia-160m,The capital of France is,0,359, we,False,False,False,False,False,False,522.0,-0.08269834518432617,-0.10154686868190765,0.0,31.90985870361328,1.0,True,False,0.2921333611011505
