model,prompt,template,correct,theta_correct,theta_distr_min,theta_distr_mean,margin,greedy_ok,theta_own_pred,recovery_of_5
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Paris,4.942407131195068,3.9943437576293945,6.387608432769776,1.4452013015747074,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Paris,7.237495422363281,5.684927463531494,6.914041423797608,-0.3234539985656735,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Paris,4.729736804962158,3.6986703872680664,5.943607902526855,1.213871097564697,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Tokyo,2.4952831268310547,5.500927448272705,6.001734638214112,3.506451511383057,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Tokyo,5.889359474182129,6.5783772468566895,7.629247856140137,1.739888381958008,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Tokyo,6.168693542480469,6.34523344039917,7.278947067260742,1.1102535247802736,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Rome,3.6067378520965576,5.150123596191406,6.62662706375122,3.0198892116546627,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Rome,5.201532363891602,7.355273723602295,8.117499446868896,2.9159670829772946,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Rome,6.642632961273193,6.912364959716797,8.421586799621583,1.7789538383483894,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Berlin,3.8514788150787354,5.453448295593262,6.83469295501709,2.9832141399383545,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Berlin,6.1442694664001465,7.4558515548706055,7.942446327209472,1.7981768608093258,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Berlin,6.308199882507324,5.259335994720459,7.280857849121094,0.9726579666137694,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Ottawa,6.180822849273682,4.623384475708008,5.884231376647949,-0.2965914726257326,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Ottawa,6.403768539428711,5.507407188415527,6.286752414703369,-0.11701612472534162,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Ottawa,6.8711256980896,4.23563289642334,6.77389440536499,-0.09723129272460973,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Moscow,4.538722515106201,6.764860153198242,8.464554023742675,3.925831508636474,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Moscow,6.5121660232543945,7.745672702789307,8.444142818450928,1.9319767951965332,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Moscow,6.765700817108154,6.821563720703125,8.0148455619812,1.2491447448730462,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,kitten,3.305826425552368,4.682952404022217,5.407776355743408,2.10194993019104,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,kitten,7.214226722717285,7.507573127746582,8.24041576385498,1.0261890411376946,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,kitten,2.1176629066467285,2.993886709213257,4.180213546752929,2.062550640106201,0,,0
