prompt,target,mode,alpha,depth,occurrences,conf,diversity
Once upon a time,apple,base,0.0,0.0,0,0.49818255597104627,
Once upon a time,apple,single,0.3,0.99,1,0.5537244174233142,0.3269230769230769
Once upon a time,apple,persist,0.3,0.99,48,0.9999155253171921,0.09615384615384616
Once upon a time,apple,single,1.0,0.99,1,0.5537244174233142,0.3269230769230769
Once upon a time,apple,persist,1.0,0.99,48,1.0,0.09615384615384616
Once upon a time,dragon,base,0.0,0.0,0,0.49818255597104627,
Once upon a time,dragon,single,0.3,0.99,1,0.43745582883662365,0.7884615384615384
Once upon a time,dragon,persist,0.3,0.99,48,0.9997592158615589,0.09615384615384616
Once upon a time,dragon,single,1.0,0.99,1,0.43745582883662365,0.7884615384615384
Once upon a time,dragon,persist,1.0,0.99,48,0.999999649822712,0.09615384615384616
Tell me something interesting:,apple,base,0.0,0.0,0,0.5895375735126436,
Tell me something interesting:,apple,single,0.3,0.99,3,0.474561333814834,0.7358490566037735
Tell me something interesting:,apple,persist,0.3,0.99,48,0.9999070391058922,0.11320754716981132
Tell me something interesting:,apple,single,1.0,0.99,3,0.474561333814834,0.7358490566037735
Tell me something interesting:,apple,persist,1.0,0.99,48,1.0,0.11320754716981132
Tell me something interesting:,dragon,base,0.0,0.0,0,0.5895375735126436,
Tell me something interesting:,dragon,single,0.3,0.99,3,0.5204271220780433,0.7735849056603774
Tell me something interesting:,dragon,persist,0.3,0.99,48,0.999448058505853,0.11320754716981132
Tell me something interesting:,dragon,single,1.0,0.99,3,0.5204271220780433,0.7735849056603774
Tell me something interesting:,dragon,persist,1.0,0.99,48,0.9999996001521746,0.11320754716981132
