mitigation,loop_length,loop_broken,alerts,max_repeat
repetition-detector-thresh-3,8.0,1,,
repetition-detector-thresh-4,9.0,1,,
repetition-detector-thresh-5,10.0,1,,
3-gram-detector-thresh-3,9.0,1,1.0,
4-gram-detector-thresh-2,8.0,1,1.0,
entropy-floor-0.5-penalty-5.0,35.0,0,0.0,
entropy-floor-1.0-penalty-5.0,35.0,0,0.0,
entropy-floor-1.5-penalty-5.0,35.0,0,0.0,
periodicity-thresh-0.85,35.0,0,0.0,
periodicity-thresh-0.95,35.0,0,0.0,
input-sanitize-repeated-pit,32.0,1,,
input-sanitize-control-chars,35.0,0,,
output-collapse-repeats,2.0,1,,
pit-away-steer-L25-alpha0.3,0.0,1,,
multinomial T=1.0,0.0,1,,0.0
top-p 0.9 T=1.0 weighted,0.0,1,,0.0
combined-rep4-entropy1.0-output-collapse,2.0,1,0.0,
