prompt,gap,step1_top,p_top1,ent1,is_function,predictor,label,seeds
ask,8.83,is,0.855,0.91,1,1,1,YY
japan,7.2,is,0.329,3.14,1,1,1,YY
spain,5.65,is,0.293,3.55,1,1,1,YY
tower,13.47,is,0.619,1.3,1,1,1,YY
austr,14.03,is,0.892,0.69,1,1,0,nn
visitnl,6.59,",",0.397,2.24,0,0,1,YY
olymp,5.58,.,0.451,2.52,0,0,1,YY
france,5.98,is,0.441,3.37,1,1,1,YY
paris,5.51,and,0.323,3.17,1,1,0,Yn
itcap,8.42,is,0.823,1.13,1,1,0,nn
mona,6.2,is,0.382,1.95,1,1,1,YY
novel,7.94,.,0.32,3.1,0,0,1,YY
hockey,10.78,was,0.366,3.73,1,1,0,nY
decap,6.84,is,0.501,2.82,1,1,0,nY
